date,product,quantity,unitPrice
2026-06-16,"Aashirvaad Superior MP Sharbati Atta 5kg",9,310.00
2026-06-16,"Tata Salt Vacuum Evaporated 1kg",20,28.00
2026-06-16,"Tata Sampann Toor Dal 1kg",7,175.00
2026-06-16,"Fortune Sunlite Refined Sunflower Oil 1L",11,155.00
2026-06-16,"Surf Excel Easy Wash Detergent Powder 1kg",6,145.00
2026-06-16,"Vim Dishwash Liquid Gel 500ml",6,130.00
2026-06-16,"Colgate MaxFresh Blue Gel Toothpaste 150g",9,120.00
2026-06-16,"Head & Shoulders Anti-Dandruff Shampoo 340ml",3,320.00
2026-06-16,"Dettol Original Bathing Soap (Pack of 4)",7,190.00
2026-06-16,"Premium Saffron Special Tea 250g",1,600.00
2026-06-16,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-17,"Maggi 2-Minute Noodles 70g",17,14.00
2026-06-17,"Nestle Classic Coffee 50g",5,175.00
2026-06-17,"Coca-Cola Original 750ml",16,45.00
2026-06-17,"Pepsi Can 300ml",8,40.00
2026-06-17,"Real Fruit Juice Mixed Fruit 1L",6,120.00
2026-06-17,"Parle-G Gold Biscuits 1kg",10,130.00
2026-06-17,"Britannia Good Day Butter 200g",14,50.00
2026-06-17,"Britannia Marie Gold 250g",11,35.00
2026-06-17,"Lay's Classic Salted Chips 50g",13,20.00
2026-06-17,"Kurkure Masala Munch 80g",15,20.00
2026-06-17,"Amul Taaza Homogenised Toned Milk 1L",26,72.00
2026-06-17,"Amul Salted Butter 500g",9,275.00
2026-06-17,"Kellogg's Corn Flakes 475g",4,220.00
2026-06-17,"Aashirvaad Superior MP Sharbati Atta 5kg",9,310.00
2026-06-17,"Tata Salt Vacuum Evaporated 1kg",20,28.00
2026-06-17,"Tata Sampann Toor Dal 1kg",8,175.00
2026-06-17,"Fortune Sunlite Refined Sunflower Oil 1L",13,155.00
2026-06-17,"Surf Excel Easy Wash Detergent Powder 1kg",7,145.00
2026-06-17,"Vim Dishwash Liquid Gel 500ml",6,130.00
2026-06-17,"Colgate MaxFresh Blue Gel Toothpaste 150g",9,120.00
2026-06-17,"Head & Shoulders Anti-Dandruff Shampoo 340ml",3,320.00
2026-06-17,"Dettol Original Bathing Soap (Pack of 4)",7,190.00
2026-06-17,"Premium Saffron Special Tea 250g",2,600.00
2026-06-17,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-18,"Maggi 2-Minute Noodles 70g",18,14.00
2026-06-18,"Nestle Classic Coffee 50g",4,175.00
2026-06-18,"Coca-Cola Original 750ml",14,45.00
2026-06-18,"Pepsi Can 300ml",8,40.00
2026-06-18,"Real Fruit Juice Mixed Fruit 1L",7,120.00
2026-06-18,"Parle-G Gold Biscuits 1kg",9,130.00
2026-06-18,"Britannia Good Day Butter 200g",14,50.00
2026-06-18,"Britannia Marie Gold 250g",12,35.00
2026-06-18,"Lay's Classic Salted Chips 50g",16,20.00
2026-06-18,"Kurkure Masala Munch 80g",17,20.00
2026-06-18,"Amul Taaza Homogenised Toned Milk 1L",19,72.00
2026-06-18,"Amul Salted Butter 500g",6,275.00
2026-06-18,"Kellogg's Corn Flakes 475g",4,220.00
2026-06-18,"Aashirvaad Superior MP Sharbati Atta 5kg",10,310.00
2026-06-18,"Tata Salt Vacuum Evaporated 1kg",16,28.00
2026-06-18,"Tata Sampann Toor Dal 1kg",7,175.00
2026-06-18,"Fortune Sunlite Refined Sunflower Oil 1L",13,155.00
2026-06-18,"Surf Excel Easy Wash Detergent Powder 1kg",6,145.00
2026-06-18,"Vim Dishwash Liquid Gel 500ml",6,130.00
2026-06-18,"Colgate MaxFresh Blue Gel Toothpaste 150g",8,120.00
2026-06-18,"Head & Shoulders Anti-Dandruff Shampoo 340ml",3,320.00
2026-06-18,"Dettol Original Bathing Soap (Pack of 4)",7,190.00
2026-06-18,"Premium Saffron Special Tea 250g",2,600.00
2026-06-18,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-19,"Maggi 2-Minute Noodles 70g",22,14.00
2026-06-19,"Nestle Classic Coffee 50g",6,175.00
2026-06-19,"Coca-Cola Original 750ml",17,45.00
2026-06-19,"Pepsi Can 300ml",14,40.00
2026-06-19,"Real Fruit Juice Mixed Fruit 1L",9,120.00
2026-06-19,"Parle-G Gold Biscuits 1kg",11,130.00
2026-06-19,"Britannia Good Day Butter 200g",17,50.00
2026-06-19,"Britannia Marie Gold 250g",13,35.00
2026-06-19,"Lay's Classic Salted Chips 50g",23,20.00
2026-06-19,"Kurkure Masala Munch 80g",19,20.00
2026-06-19,"Amul Taaza Homogenised Toned Milk 1L",32,72.00
2026-06-19,"Amul Salted Butter 500g",8,275.00
2026-06-19,"Kellogg's Corn Flakes 475g",6,220.00
2026-06-19,"Aashirvaad Superior MP Sharbati Atta 5kg",12,310.00
2026-06-19,"Tata Salt Vacuum Evaporated 1kg",24,28.00
2026-06-19,"Tata Sampann Toor Dal 1kg",12,175.00
2026-06-19,"Fortune Sunlite Refined Sunflower Oil 1L",16,155.00
2026-06-19,"Surf Excel Easy Wash Detergent Powder 1kg",8,145.00
2026-06-19,"Vim Dishwash Liquid Gel 500ml",8,130.00
2026-06-19,"Colgate MaxFresh Blue Gel Toothpaste 150g",11,120.00
2026-06-19,"Head & Shoulders Anti-Dandruff Shampoo 340ml",5,320.00
2026-06-19,"Dettol Original Bathing Soap (Pack of 4)",10,190.00
2026-06-19,"Premium Saffron Special Tea 250g",3,600.00
2026-06-19,"Exotic Dark Truffle Chocolate 150g",3,420.00
2026-06-20,"Maggi 2-Minute Noodles 70g",27,14.00
2026-06-20,"Nestle Classic Coffee 50g",7,175.00
2026-06-20,"Coca-Cola Original 750ml",20,45.00
2026-06-20,"Pepsi Can 300ml",14,40.00
2026-06-20,"Real Fruit Juice Mixed Fruit 1L",8,120.00
2026-06-20,"Parle-G Gold Biscuits 1kg",11,130.00
2026-06-20,"Britannia Good Day Butter 200g",16,50.00
2026-06-20,"Britannia Marie Gold 250g",13,35.00
2026-06-20,"Lay's Classic Salted Chips 50g",21,20.00
2026-06-20,"Kurkure Masala Munch 80g",21,20.00
2026-06-20,"Amul Taaza Homogenised Toned Milk 1L",31,72.00
2026-06-20,"Amul Salted Butter 500g",8,275.00
2026-06-20,"Kellogg's Corn Flakes 475g",6,220.00
2026-06-20,"Aashirvaad Superior MP Sharbati Atta 5kg",13,310.00
2026-06-20,"Tata Salt Vacuum Evaporated 1kg",27,28.00
2026-06-20,"Tata Sampann Toor Dal 1kg",11,175.00
2026-06-20,"Fortune Sunlite Refined Sunflower Oil 1L",14,155.00
2026-06-20,"Surf Excel Easy Wash Detergent Powder 1kg",7,145.00
2026-06-20,"Vim Dishwash Liquid Gel 500ml",9,130.00
2026-06-20,"Colgate MaxFresh Blue Gel Toothpaste 150g",12,120.00
2026-06-20,"Head & Shoulders Anti-Dandruff Shampoo 340ml",6,320.00
2026-06-20,"Dettol Original Bathing Soap (Pack of 4)",12,190.00
2026-06-20,"Premium Saffron Special Tea 250g",3,600.00
2026-06-20,"Exotic Dark Truffle Chocolate 150g",3,420.00
2026-06-21,"Maggi 2-Minute Noodles 70g",20,14.00
2026-06-21,"Nestle Classic Coffee 50g",5,175.00
2026-06-21,"Coca-Cola Original 750ml",13,45.00
2026-06-21,"Pepsi Can 300ml",10,40.00
2026-06-21,"Real Fruit Juice Mixed Fruit 1L",6,120.00
2026-06-21,"Parle-G Gold Biscuits 1kg",7,130.00
2026-06-21,"Britannia Good Day Butter 200g",11,50.00
2026-06-21,"Britannia Marie Gold 250g",12,35.00
2026-06-21,"Lay's Classic Salted Chips 50g",18,20.00
2026-06-21,"Kurkure Masala Munch 80g",16,20.00
2026-06-21,"Amul Taaza Homogenised Toned Milk 1L",22,72.00
2026-06-21,"Amul Salted Butter 500g",8,275.00
2026-06-21,"Kellogg's Corn Flakes 475g",5,220.00
2026-06-21,"Aashirvaad Superior MP Sharbati Atta 5kg",9,310.00
2026-06-21,"Tata Salt Vacuum Evaporated 1kg",19,28.00
2026-06-21,"Tata Sampann Toor Dal 1kg",8,175.00
2026-06-21,"Fortune Sunlite Refined Sunflower Oil 1L",12,155.00
2026-06-21,"Surf Excel Easy Wash Detergent Powder 1kg",6,145.00
2026-06-21,"Vim Dishwash Liquid Gel 500ml",6,130.00
2026-06-21,"Colgate MaxFresh Blue Gel Toothpaste 150g",8,120.00
2026-06-21,"Head & Shoulders Anti-Dandruff Shampoo 340ml",3,320.00
2026-06-21,"Dettol Original Bathing Soap (Pack of 4)",6,190.00
2026-06-21,"Premium Saffron Special Tea 250g",2,600.00
2026-06-21,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-22,"Maggi 2-Minute Noodles 70g",19,14.00
2026-06-22,"Nestle Classic Coffee 50g",5,175.00
2026-06-22,"Coca-Cola Original 750ml",13,45.00
2026-06-22,"Pepsi Can 300ml",9,40.00
2026-06-22,"Real Fruit Juice Mixed Fruit 1L",5,120.00
2026-06-22,"Parle-G Gold Biscuits 1kg",7,130.00
2026-06-22,"Britannia Good Day Butter 200g",14,50.00
2026-06-22,"Britannia Marie Gold 250g",11,35.00
2026-06-22,"Lay's Classic Salted Chips 50g",17,20.00
2026-06-22,"Kurkure Masala Munch 80g",14,20.00
2026-06-22,"Amul Taaza Homogenised Toned Milk 1L",22,72.00
2026-06-22,"Amul Salted Butter 500g",6,275.00
2026-06-22,"Kellogg's Corn Flakes 475g",3,220.00
2026-06-22,"Aashirvaad Superior MP Sharbati Atta 5kg",9,310.00
2026-06-22,"Tata Salt Vacuum Evaporated 1kg",23,28.00
2026-06-22,"Tata Sampann Toor Dal 1kg",8,175.00
2026-06-22,"Fortune Sunlite Refined Sunflower Oil 1L",11,155.00
2026-06-22,"Surf Excel Easy Wash Detergent Powder 1kg",7,145.00
2026-06-22,"Vim Dishwash Liquid Gel 500ml",6,130.00
2026-06-22,"Colgate MaxFresh Blue Gel Toothpaste 150g",7,120.00
2026-06-22,"Head & Shoulders Anti-Dandruff Shampoo 340ml",5,320.00
2026-06-22,"Dettol Original Bathing Soap (Pack of 4)",6,190.00
2026-06-22,"Premium Saffron Special Tea 250g",2,600.00
2026-06-22,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-23,"Maggi 2-Minute Noodles 70g",17,14.00
2026-06-23,"Nestle Classic Coffee 50g",5,175.00
2026-06-23,"Coca-Cola Original 750ml",13,45.00
2026-06-23,"Pepsi Can 300ml",10,40.00
2026-06-23,"Real Fruit Juice Mixed Fruit 1L",7,120.00
2026-06-23,"Parle-G Gold Biscuits 1kg",9,130.00
2026-06-23,"Britannia Good Day Butter 200g",15,50.00
2026-06-23,"Britannia Marie Gold 250g",10,35.00
2026-06-23,"Lay's Classic Salted Chips 50g",17,20.00
2026-06-23,"Kurkure Masala Munch 80g",15,20.00
2026-06-23,"Amul Taaza Homogenised Toned Milk 1L",21,72.00
2026-06-23,"Amul Salted Butter 500g",8,275.00
2026-06-23,"Kellogg's Corn Flakes 475g",3,220.00
2026-06-23,"Aashirvaad Superior MP Sharbati Atta 5kg",8,310.00
2026-06-23,"Tata Salt Vacuum Evaporated 1kg",18,28.00
2026-06-23,"Tata Sampann Toor Dal 1kg",7,175.00
2026-06-23,"Fortune Sunlite Refined Sunflower Oil 1L",14,155.00
2026-06-23,"Surf Excel Easy Wash Detergent Powder 1kg",6,145.00
2026-06-23,"Vim Dishwash Liquid Gel 500ml",5,130.00
2026-06-23,"Colgate MaxFresh Blue Gel Toothpaste 150g",9,120.00
2026-06-23,"Head & Shoulders Anti-Dandruff Shampoo 340ml",4,320.00
2026-06-23,"Dettol Original Bathing Soap (Pack of 4)",7,190.00
2026-06-23,"Premium Saffron Special Tea 250g",2,600.00
2026-06-23,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-24,"Maggi 2-Minute Noodles 70g",22,14.00
2026-06-24,"Nestle Classic Coffee 50g",5,175.00
2026-06-24,"Coca-Cola Original 750ml",16,45.00
2026-06-24,"Pepsi Can 300ml",9,40.00
2026-06-24,"Real Fruit Juice Mixed Fruit 1L",7,120.00
2026-06-24,"Parle-G Gold Biscuits 1kg",7,130.00
2026-06-24,"Britannia Good Day Butter 200g",11,50.00
2026-06-24,"Britannia Marie Gold 250g",10,35.00
2026-06-24,"Lay's Classic Salted Chips 50g",16,20.00
2026-06-24,"Kurkure Masala Munch 80g",14,20.00
2026-06-24,"Amul Taaza Homogenised Toned Milk 1L",24,72.00
2026-06-24,"Amul Salted Butter 500g",8,275.00
2026-06-24,"Kellogg's Corn Flakes 475g",3,220.00
2026-06-24,"Aashirvaad Superior MP Sharbati Atta 5kg",8,310.00
2026-06-24,"Tata Salt Vacuum Evaporated 1kg",21,28.00
2026-06-24,"Tata Sampann Toor Dal 1kg",8,175.00
2026-06-24,"Fortune Sunlite Refined Sunflower Oil 1L",14,155.00
2026-06-24,"Surf Excel Easy Wash Detergent Powder 1kg",5,145.00
2026-06-24,"Vim Dishwash Liquid Gel 500ml",6,130.00
2026-06-24,"Colgate MaxFresh Blue Gel Toothpaste 150g",9,120.00
2026-06-24,"Head & Shoulders Anti-Dandruff Shampoo 340ml",4,320.00
2026-06-24,"Dettol Original Bathing Soap (Pack of 4)",8,190.00
2026-06-24,"Premium Saffron Special Tea 250g",2,600.00
2026-06-24,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-25,"Maggi 2-Minute Noodles 70g",17,14.00
2026-06-25,"Nestle Classic Coffee 50g",4,175.00
2026-06-25,"Coca-Cola Original 750ml",13,45.00
2026-06-25,"Pepsi Can 300ml",11,40.00
2026-06-25,"Real Fruit Juice Mixed Fruit 1L",6,120.00
2026-06-25,"Parle-G Gold Biscuits 1kg",8,130.00
2026-06-25,"Britannia Good Day Butter 200g",12,50.00
2026-06-25,"Britannia Marie Gold 250g",10,35.00
2026-06-25,"Lay's Classic Salted Chips 50g",14,20.00
2026-06-25,"Kurkure Masala Munch 80g",14,20.00
2026-06-25,"Amul Taaza Homogenised Toned Milk 1L",23,72.00
2026-06-25,"Amul Salted Butter 500g",9,275.00
2026-06-25,"Kellogg's Corn Flakes 475g",4,220.00
2026-06-25,"Aashirvaad Superior MP Sharbati Atta 5kg",10,310.00
2026-06-25,"Tata Salt Vacuum Evaporated 1kg",20,28.00
2026-06-25,"Tata Sampann Toor Dal 1kg",7,175.00
2026-06-25,"Fortune Sunlite Refined Sunflower Oil 1L",10,155.00
2026-06-25,"Surf Excel Easy Wash Detergent Powder 1kg",7,145.00
2026-06-25,"Vim Dishwash Liquid Gel 500ml",5,130.00
2026-06-25,"Colgate MaxFresh Blue Gel Toothpaste 150g",9,120.00
2026-06-25,"Head & Shoulders Anti-Dandruff Shampoo 340ml",5,320.00
2026-06-25,"Dettol Original Bathing Soap (Pack of 4)",6,190.00
2026-06-25,"Premium Saffron Special Tea 250g",2,600.00
2026-06-25,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-26,"Maggi 2-Minute Noodles 70g",25,14.00
2026-06-26,"Nestle Classic Coffee 50g",7,175.00
2026-06-26,"Coca-Cola Original 750ml",18,45.00
2026-06-26,"Pepsi Can 300ml",15,40.00
2026-06-26,"Real Fruit Juice Mixed Fruit 1L",8,120.00
2026-06-26,"Parle-G Gold Biscuits 1kg",10,130.00
2026-06-26,"Britannia Good Day Butter 200g",15,50.00
2026-06-26,"Britannia Marie Gold 250g",16,35.00
2026-06-26,"Lay's Classic Salted Chips 50g",22,20.00
2026-06-26,"Kurkure Masala Munch 80g",25,20.00
2026-06-26,"Amul Taaza Homogenised Toned Milk 1L",28,72.00
2026-06-26,"Amul Salted Butter 500g",10,275.00
2026-06-26,"Kellogg's Corn Flakes 475g",7,220.00
2026-06-26,"Aashirvaad Superior MP Sharbati Atta 5kg",12,310.00
2026-06-26,"Tata Salt Vacuum Evaporated 1kg",26,28.00
2026-06-26,"Tata Sampann Toor Dal 1kg",11,175.00
2026-06-26,"Fortune Sunlite Refined Sunflower Oil 1L",17,155.00
2026-06-26,"Surf Excel Easy Wash Detergent Powder 1kg",10,145.00
2026-06-26,"Vim Dishwash Liquid Gel 500ml",8,130.00
2026-06-26,"Colgate MaxFresh Blue Gel Toothpaste 150g",10,120.00
2026-06-26,"Head & Shoulders Anti-Dandruff Shampoo 340ml",6,320.00
2026-06-26,"Dettol Original Bathing Soap (Pack of 4)",8,190.00
2026-06-26,"Premium Saffron Special Tea 250g",4,600.00
2026-06-26,"Exotic Dark Truffle Chocolate 150g",3,420.00
2026-06-27,"Maggi 2-Minute Noodles 70g",25,14.00
2026-06-27,"Nestle Classic Coffee 50g",7,175.00
2026-06-27,"Coca-Cola Original 750ml",19,45.00
2026-06-27,"Pepsi Can 300ml",12,40.00
2026-06-27,"Real Fruit Juice Mixed Fruit 1L",8,120.00
2026-06-27,"Parle-G Gold Biscuits 1kg",10,130.00
2026-06-27,"Britannia Good Day Butter 200g",16,50.00
2026-06-27,"Britannia Marie Gold 250g",16,35.00
2026-06-27,"Lay's Classic Salted Chips 50g",21,20.00
2026-06-27,"Kurkure Masala Munch 80g",20,20.00
2026-06-27,"Amul Taaza Homogenised Toned Milk 1L",28,72.00
2026-06-27,"Amul Salted Butter 500g",9,275.00
2026-06-27,"Kellogg's Corn Flakes 475g",5,220.00
2026-06-27,"Aashirvaad Superior MP Sharbati Atta 5kg",14,310.00
2026-06-27,"Tata Salt Vacuum Evaporated 1kg",28,28.00
2026-06-27,"Tata Sampann Toor Dal 1kg",11,175.00
2026-06-27,"Fortune Sunlite Refined Sunflower Oil 1L",17,155.00
2026-06-27,"Surf Excel Easy Wash Detergent Powder 1kg",11,145.00
2026-06-27,"Vim Dishwash Liquid Gel 500ml",7,130.00
2026-06-27,"Colgate MaxFresh Blue Gel Toothpaste 150g",10,120.00
2026-06-27,"Head & Shoulders Anti-Dandruff Shampoo 340ml",6,320.00
2026-06-27,"Dettol Original Bathing Soap (Pack of 4)",10,190.00
2026-06-27,"Premium Saffron Special Tea 250g",2,600.00
2026-06-27,"Exotic Dark Truffle Chocolate 150g",3,420.00
2026-06-28,"Maggi 2-Minute Noodles 70g",20,14.00
2026-06-28,"Nestle Classic Coffee 50g",5,175.00
2026-06-28,"Coca-Cola Original 750ml",16,45.00
2026-06-28,"Pepsi Can 300ml",13,40.00
2026-06-28,"Real Fruit Juice Mixed Fruit 1L",5,120.00
2026-06-28,"Parle-G Gold Biscuits 1kg",9,130.00
2026-06-28,"Britannia Good Day Butter 200g",12,50.00
2026-06-28,"Britannia Marie Gold 250g",12,35.00
2026-06-28,"Lay's Classic Salted Chips 50g",16,20.00
2026-06-28,"Kurkure Masala Munch 80g",17,20.00
2026-06-28,"Amul Taaza Homogenised Toned Milk 1L",23,72.00
2026-06-28,"Amul Salted Butter 500g",8,275.00
2026-06-28,"Kellogg's Corn Flakes 475g",4,220.00
2026-06-28,"Aashirvaad Superior MP Sharbati Atta 5kg",9,310.00
2026-06-28,"Tata Salt Vacuum Evaporated 1kg",18,28.00
2026-06-28,"Tata Sampann Toor Dal 1kg",7,175.00
2026-06-28,"Fortune Sunlite Refined Sunflower Oil 1L",12,155.00
2026-06-28,"Surf Excel Easy Wash Detergent Powder 1kg",8,145.00
2026-06-28,"Vim Dishwash Liquid Gel 500ml",6,130.00
2026-06-28,"Colgate MaxFresh Blue Gel Toothpaste 150g",8,120.00
2026-06-28,"Head & Shoulders Anti-Dandruff Shampoo 340ml",4,320.00
2026-06-28,"Dettol Original Bathing Soap (Pack of 4)",9,190.00
2026-06-28,"Premium Saffron Special Tea 250g",2,600.00
2026-06-28,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-29,"Maggi 2-Minute Noodles 70g",20,14.00
2026-06-29,"Nestle Classic Coffee 50g",4,175.00
2026-06-29,"Coca-Cola Original 750ml",16,45.00
2026-06-29,"Pepsi Can 300ml",8,40.00
2026-06-29,"Real Fruit Juice Mixed Fruit 1L",5,120.00
2026-06-29,"Parle-G Gold Biscuits 1kg",9,130.00
2026-06-29,"Britannia Good Day Butter 200g",11,50.00
2026-06-29,"Britannia Marie Gold 250g",11,35.00
2026-06-29,"Lay's Classic Salted Chips 50g",15,20.00
2026-06-29,"Kurkure Masala Munch 80g",17,20.00
2026-06-29,"Amul Taaza Homogenised Toned Milk 1L",20,72.00
2026-06-29,"Amul Salted Butter 500g",5,275.00
2026-06-29,"Kellogg's Corn Flakes 475g",3,220.00
2026-06-29,"Aashirvaad Superior MP Sharbati Atta 5kg",10,310.00
2026-06-29,"Tata Salt Vacuum Evaporated 1kg",21,28.00
2026-06-29,"Tata Sampann Toor Dal 1kg",10,175.00
2026-06-29,"Fortune Sunlite Refined Sunflower Oil 1L",10,155.00
2026-06-29,"Surf Excel Easy Wash Detergent Powder 1kg",8,145.00
2026-06-29,"Vim Dishwash Liquid Gel 500ml",5,130.00
2026-06-29,"Colgate MaxFresh Blue Gel Toothpaste 150g",9,120.00
2026-06-29,"Head & Shoulders Anti-Dandruff Shampoo 340ml",3,320.00
2026-06-29,"Dettol Original Bathing Soap (Pack of 4)",8,190.00
2026-06-29,"Premium Saffron Special Tea 250g",1,600.00
2026-06-29,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-06-30,"Maggi 2-Minute Noodles 70g",18,14.00
2026-06-30,"Nestle Classic Coffee 50g",5,175.00
2026-06-30,"Coca-Cola Original 750ml",15,45.00
2026-06-30,"Pepsi Can 300ml",11,40.00
2026-06-30,"Real Fruit Juice Mixed Fruit 1L",6,120.00
2026-06-30,"Parle-G Gold Biscuits 1kg",8,130.00
2026-06-30,"Britannia Good Day Butter 200g",11,50.00
2026-06-30,"Britannia Marie Gold 250g",9,35.00
2026-06-30,"Lay's Classic Salted Chips 50g",17,20.00
2026-06-30,"Kurkure Masala Munch 80g",13,20.00
2026-06-30,"Amul Taaza Homogenised Toned Milk 1L",23,72.00
2026-06-30,"Amul Salted Butter 500g",7,275.00
2026-06-30,"Kellogg's Corn Flakes 475g",4,220.00
2026-06-30,"Aashirvaad Superior MP Sharbati Atta 5kg",9,310.00
2026-06-30,"Tata Salt Vacuum Evaporated 1kg",17,28.00
2026-06-30,"Tata Sampann Toor Dal 1kg",7,175.00
2026-06-30,"Fortune Sunlite Refined Sunflower Oil 1L",12,155.00
2026-06-30,"Surf Excel Easy Wash Detergent Powder 1kg",6,145.00
2026-06-30,"Vim Dishwash Liquid Gel 500ml",7,130.00
2026-06-30,"Colgate MaxFresh Blue Gel Toothpaste 150g",8,120.00
2026-06-30,"Head & Shoulders Anti-Dandruff Shampoo 340ml",3,320.00
2026-06-30,"Dettol Original Bathing Soap (Pack of 4)",7,190.00
2026-06-30,"Premium Saffron Special Tea 250g",2,600.00
2026-06-30,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-07-01,"Maggi 2-Minute Noodles 70g",14,14.00
2026-07-01,"Nestle Classic Coffee 50g",5,175.00
2026-07-01,"Coca-Cola Original 750ml",13,45.00
2026-07-01,"Pepsi Can 300ml",11,40.00
2026-07-01,"Real Fruit Juice Mixed Fruit 1L",6,120.00
2026-07-01,"Parle-G Gold Biscuits 1kg",9,130.00
2026-07-01,"Britannia Good Day Butter 200g",8,50.00
2026-07-01,"Britannia Marie Gold 250g",11,35.00
2026-07-01,"Lay's Classic Salted Chips 50g",15,20.00
2026-07-01,"Kurkure Masala Munch 80g",13,20.00
2026-07-01,"Amul Taaza Homogenised Toned Milk 1L",21,72.00
2026-07-01,"Amul Salted Butter 500g",7,275.00
2026-07-01,"Kellogg's Corn Flakes 475g",4,220.00
2026-07-01,"Aashirvaad Superior MP Sharbati Atta 5kg",10,310.00
2026-07-01,"Tata Salt Vacuum Evaporated 1kg",18,28.00
2026-07-01,"Tata Sampann Toor Dal 1kg",8,175.00
2026-07-01,"Fortune Sunlite Refined Sunflower Oil 1L",12,155.00
2026-07-01,"Surf Excel Easy Wash Detergent Powder 1kg",7,145.00
2026-07-01,"Vim Dishwash Liquid Gel 500ml",6,130.00
2026-07-01,"Colgate MaxFresh Blue Gel Toothpaste 150g",8,120.00
2026-07-01,"Head & Shoulders Anti-Dandruff Shampoo 340ml",3,320.00
2026-07-01,"Dettol Original Bathing Soap (Pack of 4)",7,190.00
2026-07-01,"Premium Saffron Special Tea 250g",2,600.00
2026-07-01,"Exotic Dark Truffle Chocolate 150g",2,420.00
2026-07-02,"Maggi 2-Minute Noodles 70g",18,14.00
2026-07-02,"Nestle Classic Coffee 50g",5,175.00
2026-07-02,"Coca-Cola Original 750ml",14,45.00
2026-07-02,"Pepsi Can 300ml",11,40.00
2026-07-02,"Real Fruit Juice Mixed Fruit 1L",5,120.00
2026-07-02,"Parle-G Gold Biscuits 1kg",8,130.00
2026-07-02,"Britannia Good Day Butter 200g",14,50.00
2026-07-02,"Britannia Marie Gold 250g",10,35.00
2026-07-02,"Lay's Classic Salted Chips 50g",15,20.00
2026-07-02,"Kurkure Masala Munch 80g",16,20.00
2026-07-02,"Amul Taaza Homogenised Toned Milk 1L",22,72.00
2026-07-02,"Amul Salted Butter 500g",8,275.00
2026-07-02,"Kellogg's Corn Flakes 475g",3,220.00
2026-07-02,"Aashirvaad Superior MP Sharbati Atta 5kg",10,310.00
2026-07-02,"Tata Salt Vacuum Evaporated 1kg",20,28.00
2026-07-02,"Tata Sampann Toor Dal 1kg",7,175.00
2026-07-02,"Fortune Sunlite Refined Sunflower Oil 1L",12,155.00
